グループ,本数,No,投稿日,ファイル名,表紙テキスト,フック
"掲載費・広告費の無駄",58,6,2025/04/06,F_reel_20,"正しい採用の順番","自社の受け皿が未完成のまま広告費をかけるのは、穴の空いたバケツに上から水を注ぐのと同じです"
"掲載費・広告費の無駄",58,10,2025/04/10,J_reel_19,"見えない採用コスト","高額な掲載費を支払い続けて採用がゼロなら、現金をそのまま火で燃やして捨てたのと同じです"
"掲載費・広告費の無駄",58,16,2025/04/16,P_reel_17,"条件競争の泥沼","給料など数字で他社と戦うのは、資金力に勝る大企業との泥沼の消耗戦への入り口です"
"掲載費・広告費の無駄",58,20,2025/04/20,T_reel_19,"見えない採用コストの完全な闇","直近5年間に消えた求人掲載費の総額で、強固な自社の採用専用ページが余裕で作れる金額です"
"掲載費・広告費の無駄",58,26,2025/04/26,B_reel_24,"採用できる会社の違い","優秀な人材を他社に奪われているのに、まだ古い求人サイトにしがみついて消耗していか"
"掲載費・広告費の無駄",58,28,2025/04/28,D_reel_17,"条件以外の価値を語れ","給与等の待遇だけで他社と戦うのは、中小にとって勝ち目のない絶望的な消耗戦です"
"掲載費・広告費の無駄",58,32,2025/05/02,H_reel_24,"大手の影から逃れる","大手と同じプラットフォームの中での勝負は、結果の見え透いた残酷な資金力と規模の消耗戦です"
"掲載費・広告費の無駄",58,35,2025/05/05,K_reel_03,"消える広告費の総裁","過去5年間で代理店に払った掲載費の総額で、完璧な採用サイトがお釣りが来るほど作れます"
"掲載費・広告費の無駄",58,44,2025/05/14,T_reel_17,"条件競争からの死の脱出","給与の数字等だけで他社と戦うのは、大手との泥沼の勝てない消耗戦への入り口です"
"掲載費・広告費の無駄",58,47,2025/05/17,W_reel_08,"受け皿なき広告への課金","SNS集客等のアクセルを全開に踏む前に、無敵の情報をもつ情報の応募受け皿を構築すべきです"
"掲載費・広告費の無駄",58,49,2025/05/19,A_reel_10,"見えない採用コスト","数十万の求人広告費を複数の媒体に流し、1人の採用にいくら溶かしたか即答できますか"
"掲載費・広告費の無駄",58,64,2025/06/03,P_reel_29,"広告費を資産へ転換","媒体は高い掛け捨て家賃であり、採用の独自知見が自社に全く戻ってこない最悪の構造である為です"
"掲載費・広告費の無駄",58,66,2025/06/05,R_reel_17,"条件競争からの死の脱出","給与の数字だけで他社と戦うのは、大企業との泥沼の「死の消耗戦」への入り口です"
"掲載費・広告費の無駄",58,67,2025/06/06,S_reel_15,"採用費の使い道の完全な転換","媒体に使い捨てていた広告費の総額で、自社の基盤を余裕で作れるほどの巨額な血税になります"
"掲載費・広告費の無駄",58,69,2025/06/08,U_reel_04,"自社資産盾","外部メディアへの投資は掛け捨てですが、自社ページへの投資は来年も働く資産です"
"掲載費・広告費の無駄",58,70,2025/06/09,V_reel_17,"条件競争からの死の脱出劇","給与等の数字だけで他社と戦うのは、大手企業との泥沼の「死の消耗戦」への一直線の入り口です"
"掲載費・広告費の無駄",58,75,2025/06/14,C_reel_08,"広告費の行き先","安く見える媒体掲載が、自社の知見が残らない長期的には一番コストになります"
"掲載費・広告費の無駄",58,77,2025/06/16,E_reel_03,"消える広告費","何年も高額費用を払い続けても自社に残るインフラがゼロでは、空しくなりか"
"掲載費・広告費の無駄",58,80,2025/06/19,H_reel_22,"広告費を資産へ","媒体への高額な掲載費は使った瞬間に消えるだけの掛け捨てであり、終われば手元に何も残りません"
"掲載費・広告費の無駄",58,81,2025/06/20,I_reel_02,"掲載消耗戦の終わり","大金を媒体に払って数名採用して離職が繰り返される、終わらないループに絶望していか"
"掲載費・広告費の無駄",58,86,2025/06/25,N_reel_24,"受け皿なき集客の死","詳細情報の最終地点が未完成なのに高い広告費をかけるのは、穴の空いたバケツに水を注ぐ行為です"
"掲載費・広告費の無駄",58,93,2025/07/02,U_reel_15,"広告費を資産へ","媒体への掲載費は掛け捨てであり、採用の強烈な知見として自社には何一つ戻りません"
"掲載費・広告費の無駄",58,105,2025/07/14,I_reel_10,"採用投資への移行","長年支払い続けた手軽な掲載費は業者に吸い取られて消滅し、自社のインフラとして残りません"
"掲載費・広告費の無駄",58,114,2025/07/23,R_reel_29,"広告費を不滅の資産に変える","媒体への掲載費は掛け捨てであり、採用の知見として自社には何一つ戻りません"
"掲載費・広告費の無駄",58,119,2025/07/28,W_reel_15,"採用費用の180度の転換","効果の薄い媒体へ捨てていた広告費の総額は、自社基盤を余裕で持てるほどの巨額な血税です"
"掲載費・広告費の無駄",58,132,2025/08/10,L_reel_19,"掲載費の無間地獄","採用ゼロでも引き落とされる媒体の掲載費は、利益を静かに食い潰し続ける終わりのない借金です"
"掲載費・広告費の無駄",58,144,2025/08/22,X_reel_30,"自社資産採用の盾","媒体への投資は掛け捨てですが、自社ページへの投資は来年も働き続ける無敵の資産です"
"掲載費・広告費の無駄",58,152,2025/08/30,H_reel_17,"条件以外の価値","休日や給料の数字だけで他社と戦うのは、大企業との勝てない泥沼の不毛な消耗戦です"
"掲載費・広告費の無駄",58,158,2025/09/05,N_reel_29,"広告費を資産へ","媒体への掲載費は掛け捨ての家賃であり、自立した採用の知見として自社には全く戻りません"
"掲載費・広告費の無駄",58,159,2025/09/06,O_reel_04,"自社メディアの資産化","求人媒体への課金は他人の畑に肥料を撒く行為であり、自社の独自の採用の根っこは育ちません"
"掲載費・広告費の無駄",58,161,2025/09/08,Q_reel_15,"広告費を不滅の資産へ","求人媒体に使い捨てた広告費の総額で、自社の強固な基盤が余裕で作れる金額です"
"掲載費・広告費の無駄",58,166,2025/09/13,V_reel_29,"広告費を消えない資産へと変える","媒体への掲載費は消えゆく掛け捨てであり、採用の知見として自社には何一つ戻ってきません"
"掲載費・広告費の無駄",58,183,2025/09/30,O_reel_15,"採用費の使い道の転換","媒体へ使い捨てた広告費の総額は、自社の完璧な基盤を作るのに十分すぎるほどの巨額の無駄です"
"掲載費・広告費の無駄",58,193,2025/10/10,A_reel_01,"広告費の罠","求人サイトに払い続ける掲載費は、掲載期間が終われば1円も手元に残りません"
"掲載費・広告費の無駄",58,199,2025/10/16,G_reel_13,"採用費の使い道","毎月使い捨てていた広告費をかき集めれば、自社専用の採用基盤を余裕で作る十分な予算になります"
"掲載費・広告費の無駄",58,212,2025/10/29,T_reel_24,"受け皿なき集客の完全な死の徒労","情報の受け皿が未完成なのに広告費をかけるのは、穴の空いたバケツに水を注ぐのと同じです"
"掲載費・広告費の無駄",58,213,2025/10/30,U_reel_07,"数字競争の泥沼","給料などの数字だけで他社と勝負するのは、資金で勝る大手との全滅確定の死の消耗戦です"
"掲載費・広告費の無駄",58,219,2025/11/05,C_reel_13,"採用資産を育てる","何年も掛け捨てた媒体費を計算し、自前の採用ページが余裕で作れたと後悔しか"
"掲載費・広告費の無駄",58,220,2025/11/06,D_reel_19,"掲載費の罠から抜け出す","面接がゼロの月も容赦なく引き落とされる「媒体掲載費」が、会社の利益を一番重く圧迫します"
"掲載費・広告費の無駄",58,229,2025/11/15,M_reel_15,"採用費の使い道","使い捨てた数年分の広告費の総額は、自社の完璧な基盤を作るのに十分すぎる巨額です"
"掲載費・広告費の無駄",58,230,2025/11/16,N_reel_17,"条件競争からの脱落","給与の数字だけで他社と戦うのは、知名度と資金力に勝る大企業との泥沼の消耗戦です"
"掲載費・広告費の無駄",58,236,2025/11/22,T_reel_29,"広告費を消えない資産へと変える","媒体への掲載費は掛け捨てであり、採用の知見として自社には何一つ戻ってきません"
"掲載費・広告費の無駄",58,241,2025/11/27,A_reel_03,"採用できない理由","人が辞めるたびに100万単位の求人広告費が飛んでいくと、現場で頭を抱えていか"
"掲載費・広告費の無駄",58,251,2025/12/07,K_reel_06,"広告露出の限界","検索上位の枠を買う為大量の広告費をかけても、自動で倍の人が採れるわけではありません"
"掲載費・広告費の無駄",58,253,2025/12/09,M_reel_04,"自社メディアの資産","求人媒体への課金は他人の畑に高額な肥料を撒く行為であり、自社の採用力は育ちません"
"掲載費・広告費の無駄",58,258,2025/12/14,R_reel_24,"受け皿なき集客の死の徒労","情報の受け皿が未完成なのに広告費をかけるのは、穴の空いたバケツに水を注ぐのと同じです"
"掲載費・広告費の無駄",58,262,2025/12/18,V_reel_24,"受け皿なき集客の完全な死の徒労","情報の受け皿が未完成なのに大量の広告費をかけるのは、穴の空いたバケツに水を注ぐのと同じです"
"掲載費・広告費の無駄",58,263,2025/12/19,W_reel_04,"採用メディアの資産化","求人への高額課金は他人の畑に高い肥料を撒く行為であり、自社の土壌には採用の根が育ちません"
"掲載費・広告費の無駄",58,266,2025/12/22,B_reel_16,"掲載費の消耗","数十万の求人費を払っても、問い合わせゼロで終わる絶望的な月が何度もありか"
"掲載費・広告費の無駄",58,272,2025/12/28,H_reel_19,"受け皿なき広告","高額な広告費を10倍に増やしても採用が増えないなら、原因は受け皿側の弱さです"
"掲載費・広告費の無駄",58,280,2026/01/05,P_reel_24,"受け皿なき集客の死路","情報の受け皿が未完成なのに高い広告費をかけるのは、穴の空いた大バケツに水を注ぐ行為です"
"掲載費・広告費の無駄",58,317,2026/02/11,E_reel_12,"費用の見えない罠","5年間で媒体に払い続けてきた掲載費の総額を計算すると、莫大な金額です"
"掲載費・広告費の無駄",58,326,2026/02/20,N_reel_19,"見えない採用コスト","直近に消えた媒体掲載費の総額で、御社だけの強固な採用専用ページが十分お釣りが来て作れます"
"掲載費・広告費の無駄",58,331,2026/02/25,S_reel_04,"自社メディアの資産化","求人への高額な課金は他人の畑に肥料を撒く行為であり、自社の土壌に知見は育ちません"
"掲載費・広告費の無駄",58,338,2026/03/04,B_reel_30,"採用資産発想","掛け捨ててきた求人費の総額で、自社の為永続的に働く強固な「独自の専用ページ」が完成します"
"掲載費・広告費の無駄",58,352,2026/03/18,P_reel_19,"見えない採用コスト","直近5年間に消えた掲載費の総額で、御社だけの強固な最強の採用基盤が十分お釣りが来て作れます"
"掲載費・広告費の無駄",58,353,2026/03/19,Q_reel_04,"自社採用基盤の育成","求人への高額な掲載費は家賃と同じで、手元に独自のノウハウ資産が残りません"
"掲載費・広告費の無駄",58,354,2026/03/20,R_reel_19,"見えない採用コストの闇","直近5年間に消えた掲載費の総額で、強固な自社の採用専用ページが余裕で作れます"
"媒体依存からの脱却",50,1,2025/04/01,A_reel_04,"競合に勝てない理由","大手と同じ求人媒体に載せる行為は、スーパーの割引チラシに横並びで載るのと同じです"
"媒体依存からの脱却",50,2,2025/04/02,B_reel_17,"大手に負ける構造","資金のない中小が求人媒体で大手と戦うのは、竹槍で戦車に挑むのと同じ残酷な負け戦です"
"媒体依存からの脱却",50,3,2025/04/03,C_reel_14,"自前でインフラを持て","毎回全てを代行業者に丸投げする会社ほど、人が採れない苦労から永遠に抜け出せません"
"媒体依存からの脱却",50,4,2025/04/04,D_reel_29,"媒体の寿命はたった数週","何十万も払った求人が、たった数週間でネットから跡形もなく消え去ることに虚しさを感じか"
"媒体依存からの脱却",50,22,2025/04/22,V_reel_16,"採用投資の完全な奪還","外部のメディアに依存している限り、人が採れるノウハウは自社に育ちません"
"媒体依存からの脱却",50,30,2025/04/30,F_reel_27,"自社採用基盤","媒体を止めた途端見向きもされない会社には、自力で人を集める強力な基礎インフラが存在しません"
"媒体依存からの脱却",50,40,2025/05/10,P_reel_27,"媒体主導からの早急な脱却","媒体掲載には、契約を更新しなければ情報が消え去る圧倒的恐怖の罠が潜んでいます"
"媒体依存からの脱却",50,50,2025/05/20,B_reel_27,"検索されない採用情報","求人サイトの掲載期間が終わると、大事な採用情報はネットから跡形もなく消えます"
"媒体依存からの脱却",50,53,2025/05/23,E_reel_08,"比較される不利","たくさんの中小が並ぶ求人媒体は、大企業が初めから大勝する冷酷な比較の舞台です"
"媒体依存からの脱却",50,65,2025/06/04,Q_reel_02,"比較サイトの泥沼","求人媒体で上位表示させても、結局一番給料が高い他社に人材を吸い取られます"
"媒体依存からの脱却",50,76,2025/06/15,D_reel_25,"自社独自の採用基盤","採用のたびに外部業者を探し、一から自社の魅力を説明してお金を払う手間に疲弊していか"
"媒体依存からの脱却",50,83,2025/06/22,K_reel_13,"主導権を取り戻せ","求人を外部に依存しすぎている会社は、一方的な値上げやルール変更に屈服するしかありません"
"媒体依存からの脱却",50,116,2025/07/25,T_reel_16,"採用投資の脱却","外部のメディアに依存する限り、人が採れる最強のノウハウは自社の手元に育ちません"
"媒体依存からの脱却",50,117,2025/07/26,U_reel_01,"求人媒体の落とし穴","媒体に払えば人が来る甘い幻想は捨てて下さい。媒体は魅力を代わりには語りません"
"媒体依存からの脱却",50,128,2025/08/06,H_reel_23,"自社採用力の欠如","外部プラットフォームに依存したままでは、何年経っても自社内に独自の採用力は育ちません"
"媒体依存からの脱却",50,129,2025/08/07,I_reel_08,"採用の内製化","採用を毎度業者に丸投げして金を払う会社に、自力で若者を集める採用力は一生育ちません"
"媒体依存からの脱却",50,130,2025/08/08,J_reel_23,"採用経路の不明確さ","応募の経由媒体を正確に把握していないのは、採用戦略が丸裸で破綻している異常状態です"
"媒体依存からの脱却",50,131,2025/08/09,K_reel_14,"空洞化する自社採用力","採用を丸投げしていると、自社で人が採れる独自の最強ノウハウは空洞化し一生死に絶えたままです"
"媒体依存からの脱却",50,151,2025/08/29,G_reel_07,"他社依存からの脱却","集客を他社のプラットフォームに完全依存している状態では、強い不屈の組織は作れません"
"媒体依存からの脱却",50,155,2025/09/02,K_reel_09,"大手の土俵で戦うな","大企業がひしめく同じ条件比較の求人媒体の中で戦っても、中小企業に勝ち目はありません"
"媒体依存からの脱却",50,170,2025/09/17,B_reel_23,"採用費が消える仕組み","長年求人媒体にお金を払い続けても、自力で人を集める「独自の採用力」は育ちません"
"媒体依存からの脱却",50,172,2025/09/19,D_reel_23,"採用全体像を可視化しろ","年間でどの媒体が一番費用対効果が高かったか、データで即答できる経営者はごく僅かです"
"媒体依存からの脱却",50,175,2025/09/22,G_reel_04,"採用コストの真実","年間数百万の求人費を媒体に流し込んでも、掲載期間が過ぎれば手元には何も残りません"
"媒体依存からの脱却",50,182,2025/09/29,N_reel_27,"媒体主導からの脱却","媒体には、契約を更新しなければ高い金を払った自社の情報が消え去る残酷な罠が潜んでいます"
"媒体依存からの脱却",50,192,2025/10/09,X_reel_20,"採用コストの真の浪費","人が辞める度に求人媒体へ駆け込むのは、穴の空いたバケツに高い水を買い続けて注ぐのと同じです"
"媒体依存からの脱却",50,198,2025/10/15,F_reel_28,"コストの見える化","去年の媒体費用と採用単価を正確なデータですぐ答えられる中小経営者は稀で、大変危険です"
"媒体依存からの脱却",50,210,2025/10/27,R_reel_16,"採用投資の脱却","外部の求人媒体に依存する限り、自社で「人が採れるノウハウ」は育ちません"
"媒体依存からの脱却",50,216,2025/11/02,X_reel_17,"自社サイトの絶対優位性","求人媒体という他人の土俵で戦い続ける限り、理念やリアルに共感した人材は獲得できません"
"媒体依存からの脱却",50,221,2025/11/07,E_reel_10,"情報が消滅する恐怖","手軽に思える媒体掲載は、高額な契約をやめた瞬間に自社求人がネットから消え去る構造です"
"媒体依存からの脱却",50,222,2025/11/08,F_reel_24,"媒体主導からの脱却","媒体掲載の裏には、契約更新しないと募集が消え去る業者の生殺与奪の権の罠があります"
"媒体依存からの脱却",50,223,2025/11/09,G_reel_08,"大手の土俵で戦うな","大手と同じ求人媒体の数字比較で勝負するのは、資金がない中小が無謀にも特攻する敗戦です"
"媒体依存からの脱却",50,250,2025/12/06,J_reel_27,"脱・他社依存の恐怖","自社の採用を他社に完全委託するのは、国の防衛を知らない他人に丸投げするのと同じで危険です"
"媒体依存からの脱却",50,254,2025/12/10,N_reel_16,"採用投資の自立","求人媒体に依存する限り、自社で人が必ず採れる最強のノウハウは一生育ちません"
"媒体依存からの脱却",50,261,2025/12/17,U_reel_14,"採用業務の外部依存の恐怖","業者に採用を丸投げしている会社は、金を払えなくなった瞬間に採用活動が死滅します"
"媒体依存からの脱却",50,269,2025/12/25,E_reel_14,"採用ノウハウの空洞","採用を代行業者に丸投げする会社に、自力で優秀な人間を集めるノウハウは永遠に蓄積されません"
"媒体依存からの脱却",50,282,2026/01/07,R_reel_27,"媒体主導からの早急な脱却","媒体には、契約を更新しなければ採用情報が全て消え去る恐怖の罠が潜んでいます"
"媒体依存からの脱却",50,286,2026/01/11,V_reel_27,"媒体主導からの早急な完全脱却","媒体掲載の裏には、契約更新しなければ採用情報が全て消え去る残酷で地獄の罠が潜んでいます"
"媒体依存からの脱却",50,292,2026/01/17,D_reel_16,"自社のドメインを持て","媒体への依存は、いつ消えるか分からない他人の土地に多額を払って家を建てる高いリスクです"
"媒体依存からの脱却",50,294,2026/01/19,F_reel_21,"広告の使い捨て","何百万円も媒体に支払い、あの多額の血税は一体何の採用のためだったのかと後悔しか"
"媒体依存からの脱却",50,297,2026/01/22,I_reel_15,"脱媒体依存の構造","媒体から一方的なルール変更が来る時点で、採用の生殺与奪の権は既に業者に奪われています"
"媒体依存からの脱却",50,304,2026/01/29,P_reel_16,"採用投資の自立と奪還","外部の求人に依存する限り、自社で必ず人が採れる独自の最強の知見や実践ノウハウは育ちません"
"媒体依存からの脱却",50,312,2026/02/06,X_reel_28,"外部依存の採用力の思考停止","採用が外部丸投げの会社は、業者への金が尽きた瞬間に採用活動が停止し悲惨な終焉を迎えます"
"媒体依存からの脱却",50,314,2026/02/08,B_reel_25,"社長の想いが届かない","社長の熱い想いや決意も、媒体の文字制限の前ではただの無難な定型文に成り下がります"
"媒体依存からの脱却",50,318,2026/02/12,F_reel_16,"投資になる採用","毎月消える媒体費を自社ページに回せば、365日御社を熱的に紹介し続けます"
"媒体依存からの脱却",50,320,2026/02/14,H_reel_29,"自社の採用指標","求人媒体を複数併用すると、1人採用するのにいくらかかったかの正確なデータ計測が不可能です"
"媒体依存からの脱却",50,324,2026/02/18,L_reel_29,"脱・代行依存の真の自立","業者に丸投げしている会社に、自力で完璧で優秀な人間を集めるノウハウなど一生蓄積されません"
"媒体依存からの脱却",50,329,2026/02/23,Q_reel_10,"採用業務の外部依存の恐怖","採用を外部に丸投げしていると、お金を払えなくなった瞬間に採用活動が死滅します"
"媒体依存からの脱却",50,340,2026/03/06,D_reel_27,"脱・他社依存の採用活動","採用の命綱を媒体に預けるのは、自社の財布と首根っこを一方的に握られるのと同じ罠です"
"媒体依存からの脱却",50,350,2026/03/16,N_reel_30,"検索からの確実な狩猟","比較媒体より、自発的に社名で名指し検索してくる状況こそが自社の採用における最終勝利です"
"媒体依存からの脱却",50,356,2026/03/22,T_reel_27,"媒体主導からの早急な完全脱却","媒体掲載には、契約を更新しなければ採用情報が全て消え去る残酷な恐怖の地獄の罠が潜んでいます"
"電話応募の壁",49,8,2025/04/08,H_reel_20,"仲間の素顔を見せる","先輩の顔や疲れた表情が見えない会社に、若者は強烈で本能的な恐怖と不信感を覚えます"
"電話応募の壁",49,13,2025/04/13,M_reel_06,"電話窓口の恐怖","「まずはお電話を」を見た瞬間に、有望な若手求職者がプレッシャーで画面を閉じ去っています"
"電話応募の壁",49,33,2025/05/03,I_reel_03,"応募窓口の現代化","求人で「お電話ください」を見た瞬間、有望な若手は極度な恐怖を感じてすぐ画面を閉じます"
"電話応募の壁",49,42,2025/05/12,R_reel_21,"電話応募の分厚い壁","「まずはお電話を」を見た瞬間、有望な20代の若手は画面を閉じ自社に戻りません"
"電話応募の壁",49,46,2025/05/16,V_reel_21,"電話応募の分厚い壁","「まずはお電話を」を見た瞬間、有望な若手はプレッシャーで画面を閉じ自社には戻りません"
"電話応募の壁",49,59,2025/05/29,K_reel_08,"素顔武器","直接の先輩の顔や表情が非公開の会社への応募は、若者にとって最大の恐怖とリスクです"
"電話応募の壁",49,63,2025/06/02,O_reel_09,"情報不足の致命傷の放置","給与等の条件が良くても、実態の開示が少ない不気味な会社の応募を賢い求職者は押しません"
"電話応募の壁",49,79,2025/06/18,G_reel_10,"情報不足の恐怖","条件が悪くないのに人が来ない最大の理由は、会社の内部が見えない強烈な情報不足です"
"電話応募の壁",49,85,2025/06/24,M_reel_09,"情報不足の致命傷","待遇条件が良くても、実態の開示が少ない不透明な会社の応募ボタンを誰も押しません"
"電話応募の壁",49,88,2025/06/27,P_reel_21,"電話応募の分厚い壁","お気軽にお電話をと見た瞬間、有望な若手はプレッシャーで画面を閉じ自社には戻りません"
"電話応募の壁",49,92,2025/07/01,T_reel_30,"検索の確実な狩猟の一本釣りの極意","自発的に社名で検索し、熱意を持って名指しで応募してくる状態こそが、採用の究極の理想形です"
